日期2,收盘,开盘,高,低,交易量,涨跌幅,日期
2022/8/22,201800,198400,204380,198250,33.95K,0.0168,20220822
2022/8/19,198460,198800,199750,197100,36.80K,0.0036,20220819
2022/8/18,197750,197840,199220,196550,40.63K,-0.011,20220818
2022/8/17,199950,200000,201770,197550,53.03K,0.0098,20220817
2022/8/16,198000,196900,200630,194830,47.08K,-0.0041,20220816
2022/8/15,198820,202500,202500,196800,0.16K,-0.0313,20220815
2022/8/12,205250,202300,207000,202300,0.13K,0.0245,20220812
2022/8/11,200340,197980,202600,196590,0.09K,0.0136,20220811
2022/8/10,197660,197910,199470,195000,0.35K,0.0141,20220810
2022/8/9,194910,197000,197000,193210,0.27K,-0.012,20220809
2022/8/8,197270,197710,198700,195870,0.33K,0.0007,20220808
2022/8/5,197140,192910,199800,192750,0.34K,0.0162,20220805
2022/8/4,194000,194110,196310,192300,0.34K,0.001,20220804
2022/8/3,193800,195450,195690,191380,0.61K,-0.0175,20220803
2022/8/2,197260,201000,201250,191500,1.41K,-0.0128,20220802
2022/8/1,199820,194940,203500,194220,2.50K,0.0365,20220801
2022/7/29,192780,192380,196000,189280,10.67K,-0.0037,20220729
2022/7/28,193490,192090,197380,189000,15.95K,-0.0012,20220728
2022/7/27,193720,197490,199330,190200,26.89K,-0.0055,20220727
2022/7/26,194790,192260,199380,190930,42.13K,0.009,20220726
2022/7/25,193050,190100,196490,188500,69.10K,0.0138,20220725
2022/7/22,190430,191280,193870,188200,75.02K,-0.014,20220722
2022/7/21,193130,189870,195550,189570,77.80K,0.0248,20220721
2022/7/20,188450,188620,193570,185010,86.97K,-0.0192,20220720
2022/7/19,192140,194000,198600,185500,96.47K,0.007,20220719
2022/7/18,190810,182000,196350,182000,116.48K,0.0316,20220718
2022/7/15,184970,187000,189000,181500,0.39K,-0.0329,20220715
2022/7/14,191270,194000,195000,190100,0.05K,-0.0194,20220714
2022/7/13,195060,192300,198000,192300,0.17K,-0.0012,20220713
2022/7/12,195290,188570,201500,188570,0.39K,0.0334,20220712
2022/7/11,188970,185920,192780,185910,0.30K,-0.0057,20220711
2022/7/8,190060,193920,194800,183280,0.19K,0.0178,20220708
2022/7/7,186730,187300,191620,181780,0.33K,-0.0017,20220707
2022/7/6,187050,190990,192110,180600,0.49K,-0.0581,20220706
2022/7/5,198590,199990,202130,191080,0.66K,0.0226,20220705
2022/7/4,194210,195540,198490,189770,1.05K,-0.0228,20220704
2022/7/1,198750,203970,204910,189740,2.72K,-0.0419,20220701
2022/6/30,207450,206960,211380,202560,12.99K,-0.0204,20220630
2022/6/29,211780,221780,222750,202960,35.48K,-0.0236,20220629
2022/6/28,216890,218000,222220,211200,63.62K,0.0607,20220628
2022/6/27,204470,203200,217380,194110,125.03K,-0.0466,20220627
2022/6/24,214470,217050,222600,204660,112.82K,-0.0524,20220624
2022/6/23,226340,225000,229790,220650,80.21K,-0.0395,20220623
2022/6/22,235660,237600,242800,226600,79.92K,-0.0206,20220622
2022/6/21,240620,238160,245990,235250,77.62K,-0.0068,20220621
2022/6/20,242270,246520,247290,237000,76.50K,-0.0235,20220620
2022/6/17,248100,256000,256000,242580,94.84K,-0.0285,20220617
2022/6/16,255390,248880,259940,248880,90.18K,0.0477,20220616
2022/6/15,243760,241600,248800,230540,0.09K,0.0068,20220615
2022/6/14,242110,244170,245250,240000,0.18K,-0.0404,20220614
2022/6/13,252300,252800,253350,250100,0.27K,-0.0397,20220613
2022/6/10,262720,264000,265070,259530,0.48K,-0.0015,20220610
2022/6/9,263110,264010,265000,260910,0.73K,0.0227,20220609
2022/6/8,257260,256790,264990,249000,1.05K,-0.0085,20220608
2022/6/7,259460,265890,265890,256000,0.71K,-0.0153,20220607
2022/6/6,263500,277320,277460,259210,0.84K,-0.0356,20220606
2022/6/2,273240,272080,275000,271220,1.23K,-0.0014,20220602
2022/6/1,273630,272680,278020,270160,2.15K,-0.0087,20220601
2022/5/31,276020,278980,279980,271890,12.78K,0.0225,20220531
2022/5/30,269940,260710,279870,260710,43.27K,0.0382,20220530
2022/5/27,260010,256700,264770,254890,50.65K,-0.0068,20220527
